Age,Playlist (Parent),Category (Child on Dashboard),Notion Alias (Old Name)
3-6,Maths,Maths,
3-6,Me & My Family,Me & My Family,
3-6,Kids' Favorites,Meet Cute Animals,
3-6,Good Habits,What Do They Do,Community Helpers
3-6,,Miscellaneous,
3-6,Maths,Missing numbers,
3-6,Maths,Money,
3-6,Maths,Multiplication,
3-6,Me & My Family,My Family,Relationships
3-6,Food,Name Tasty Fruits,Fruits
3-6,Learn & Explore,Numbers & Easy Math,
3-6,Maths,Odd & Even,
3-6,English Fluency,Opposites,
3-6,Hindi Basics,Paryayvachi Shabd,
3-6,Ready for School,Place Your Numbers,Number Ordering
3-6,Ready for School,Play With Patterns,Patterns
3-6,Bright Future,Practice Good Habits,
3-6,English Fluency,Prepositions,
3-6,English Basics,Read Simple Words,Cvc / Cvc Words
3-6,Ready for School,Ready for School,
3-6,Future Scientist,Science Made Fun,Science
3-6,,Seasons,Weather
3-6,Kids' Favorites,Sing Along Rhymes,
3-6,English Fluency,Songs,
3-6,Ready for School,Sounds & Words,Phonics
3-6,Space Adventures,Space Adventures,
3-6,Ready for School,Speak It Right,Sight Words
3-6,English Basics,Speak With Confidence,English Speaking
3-6,Kids' Favorites,Spot Moving Vehicles,Vehicles
3-6,Ready for School,Spot Different Shapes,
3-6,Kids' Favorites,Spot Moving Vehicles,
3-6,English Basics,Start With Sentences,Simple Sentences
3-6,Good Habits,Stay Safe Everyday,Safety
3-6,Stories,Stories,
3-6,Maths,Subtract With Fun,Subtraction
3-6,Hindi,Swar,
3-6,Maths,Time,
3-6,Learn & Explore,Try These Actions,
3-6,Hindi,Varnmala,Varnamala
3-6,Hindi Basics,Vilom Shabd,
3-6,Future Scientist,Visit Outer Space,Space
3-6,Hindi,Vyanjan,
3-6,Future Scientist,Watch Plants Grow,Plants
3-6,Animals,Water Animals,Sea Animals
3-6,Bright Future,What Do They Do,
3-6,Food,What's On Plate,Food / Food Items
3-6,Good Habits,Understand Your Feelings,Emotions
3-6,Geography,Why Seasons Change,
3-6,English Fluency,Words,
3-6,English Basics,Write Your Alphabets,Tracing Abc
3-6,Maths,Write Your Numbers,Tracing 123
6+,Maths,1-100,
6+,Maths,100-200,
6+,Maths,3D Shapes,
6+,Maths,Add With Fun,
6+,Maths,Addition,
6+,Space Adventures,Amazing Facts Inside,Knowledge
6+,Animals,Animals,
6+,Animals,Baby Animals,
6+,Maths,Before & After Numbers,
6+,Animals,Birds,
6+,Bright Future,Bright Future,
6+,Good Habits,Build Good Habits,Good Habits
6+,Food,Choose Healthy Foods,Food
6+,Maths,Count With Confidence,
6+,Maths,Counting,
6+,Animals,Dinosaur,
6+,Science,Science Made Fun,Science
6+,Maths,Division,
6+,English Fluency,English Fluency,
6+,English Fluency,English Speaking,
6+,Stories,English Stories,
6+,Kids' Favorites,Explore Different Sports,Sports
6+,Geography,Explore Nature Around,Nature
6+,Space Adventures,Explore Outer Space,Space
6+,Food,Food,
6+,Maths,Fractions,
6+,Geography,Geography,
6+,Good Habits,Good Habits,
6+,Maths,Greater & Lesser,
6+,Stories,Hindi Stories,
6+,Good Habits,How Are You,
6+,Space Adventures,How Gadgets Work,Technology
6+,Animals,Jungle Animals,
6+,Kids' Favorites,Kids' Favorites,
6+,Science,Know Body Parts,
6+,Science,Know Your Body,My Body
6+,Geography,Know Your India,About India
6+,Space Adventures,Knowledge,
6+,English Fluency,Learn New Words,
6+,English Fluency,Learn Opposite Words,
6+,English Fluency,Learn Your ABC,
6+,Maths,Maths,
6+,Me & My Family,Me & My Family,
6+,Animals,Meet Amazing Animals,Animals
6+,Nature,Meet Cute Animals,
6+,Good Habits,What Do They Do,Community Helpers
6+,Animals,Meet Farm Animals,
6+,Animals,Meet Ocean Animals,
6+,Animals,Meet Tiny Insects,
6+,Maths,Money,
6+,Maths,Multiplication,
6+,Me & My Family,My Family,
6+,Nature,Nature,
6+,Maths,Number Ordering,
6+,Maths,Numbers & Easy Math,
6+,Maths,Odd & Even,
6+,English Fluency,Opposites,
6+,English Fluency,Phonics,
6+,Maths,Place Your Numbers,
6+,Maths,Play With Patterns,
6+,Bright Future,Practice Good Habits,
6+,English Fluency,Prepositions,
6+,English Fluency,Read Simple Words,
6+,Science,Science,
6+,Space Adventures,Science Made Fun,
6+,English Fluency,Songs,
6+,English Fluency,Sounds & Words,
6+,Space Adventures,Space Adventures,
6+,English Fluency,Speak It Right,
6+,English Fluency,Speak With Confidence,
6+,Animals,Spot Colorful Birds,
6+,Maths,Spot Different Shapes,
6+,English Fluency,Start With Sentences,
6+,Good Habits,Stay Safe Everyday,Safety
6+,Stories,Stories,
6+,Maths,Subtract With Fun,
6+,Maths,Subtraction,
6+,Maths,Time,
6+,Good Habits,Understand Your Feelings,Emotions
6+,Geography,Visit New Countries,Countries / Countries/Geography
6+,Space Adventures,Visit Outer Space,
6+,Nature,Watch Plants Grow,Plants
6+,Good Habits,What Do They Do,
6+,Nature,Why Seasons Change,Seasons / Weather
